Width,Register Renaming,Instructions,Cycles,IPC
1,true,21522,64566,0.3333333333333333
1,false,21522,64566,0.3333333333333333
2,true,21522,32284,0.6666460166026514
2,false,21522,32284,0.6666460166026514
4,true,21522,17258,1.2470738208367134
4,false,21522,18008,1.1951354953354065
8,true,21522,11185,1.9241841752346893
8,false,21522,13641,1.5777435671871565
16,true,21522,9581,2.2463208433357686
16,false,21522,12960,1.660648148148148
32,true,21522,9336,2.3052699228791775
32,false,21522,12927,1.6648874448828035
64,true,21522,9326,2.3077417971263134
64,false,21522,12927,1.6648874448828035
128,true,21522,9326,2.3077417971263134
128,false,21522,12927,1.6648874448828035
512,true,21522,9326,2.3077417971263134
512,false,21522,12927,1.6648874448828035
1024,true,21522,9326,2.3077417971263134
1024,false,21522,12927,1.6648874448828035
